timestamp,rssi,temperature,voltage,read_rate,uptime,failed
2024-01-01 00:00:00,-67,34,3.17,113,240,0
2024-01-01 00:05:00,-70,36,3.16,117,300,0
2024-01-01 00:10:00,-66,35,2.91,137,360,0
2024-01-01 00:15:00,-62,38,3.22,120,420,0
2024-01-01 00:20:00,-71,43,2.8,73,480,0
2024-01-01 00:25:00,-71,34,2.97,101,540,0
2024-01-01 00:30:00,-62,43,2.7,124,600,0
2024-01-01 00:35:00,-66,34,3.41,51,660,0
2024-01-01 00:40:00,-72,33,3.05,93,720,0
2024-01-01 00:45:00,-67,42,3.53,90,780,0
2024-01-01 00:50:00,-72,42,3.26,119,840,0
2024-01-01 00:55:00,-72,42,3.19,56,900,0
2024-01-01 01:00:00,-68,31,2.98,87,960,0
2024-01-01 01:05:00,-79,35,2.89,131,1020,0
2024-01-01 01:10:00,-78,42,3.2,94,1080,1
2024-01-01 01:15:00,-72,38,3.09,58,1140,0
2024-01-01 01:20:00,-75,32,2.83,102,1200,0
2024-01-01 01:25:00,-68,40,2.8,77,1260,1
2024-01-01 01:30:00,-74,34,2.91,68,1320,0
2024-01-01 01:35:00,-77,46,3.46,117,1380,1
2024-01-01 01:40:00,-62,45,3.54,53,1440,0
2024-01-01 01:45:00,-71,41,3.14,62,1500,0
2024-01-01 01:50:00,-69,44,3.13,141,1560,0
2024-01-01 01:55:00,-77,38,3.03,60,1620,0
2024-01-01 02:00:00,-72,41,2.91,51,1680,0
2024-01-01 02:05:00,-69,45,3.38,119,1740,0
2024-01-01 02:10:00,-75,39,3.47,61,1800,0
2024-01-01 02:15:00,-68,36,2.92,86,1860,0
2024-01-01 02:20:00,-73,29,3.08,105,1920,0
2024-01-01 02:25:00,-71,37,3.01,137,1980,0
2024-01-01 02:30:00,-73,42,3.02,101,2040,0
2024-01-01 02:35:00,-60,42,3.34,122,2100,0
2024-01-01 02:40:00,-70,40,2.84,139,2160,1
2024-01-01 02:45:00,-75,35,3.19,53,2220,0
2024-01-01 02:50:00,-65,28,3.25,53,2280,0
2024-01-01 02:55:00,-76,35,3.07,98,2340,0
2024-01-01 03:00:00,-68,36,3.28,101,2400,0
2024-01-01 03:05:00,-79,36,3.13,83,2460,0
2024-01-01 03:10:00,-76,41,3.34,71,2520,0
2024-01-01 03:15:00,-69,47,2.8,62,2580,1
2024-01-01 03:20:00,-66,38,3.03,112,2640,0
2024-01-01 03:25:00,-69,36,3.09,64,2700,0
2024-01-01 03:30:00,-70,36,2.57,89,2760,0
2024-01-01 03:35:00,-71,38,2.88,87,2820,1
2024-01-01 03:40:00,-77,33,2.94,104,2880,1
2024-01-01 03:45:00,-73,38,3.29,93,2940,0
2024-01-01 03:50:00,-72,40,2.96,115,3000,0
2024-01-01 03:55:00,-64,39,2.94,115,3060,0
2024-01-01 04:00:00,-68,40,3.26,92,3120,0
2024-01-01 04:05:00,-78,40,2.78,121,3180,1
2024-01-01 04:10:00,-68,29,2.69,87,3240,0
2024-01-01 04:15:00,-71,41,3.03,131,3300,0
2024-01-01 04:20:00,-73,34,2.81,78,3360,0
2024-01-01 04:25:00,-66,32,2.82,124,3420,1
2024-01-01 04:30:00,-64,32,3.21,105,3480,0
2024-01-01 04:35:00,-65,40,3.28,55,3540,0
2024-01-01 04:40:00,-74,36,3.26,58,3600,0
